Fold,Alpha,kNN,Clase,Accuracy,Presicion,Recall,F1_score
5,20,4,5,0.994019854084,0.96812749004,0.965562913907,0.966843501326
5,20,4,6,0.996770721206,0.977299880526,0.990314769976,0.983764281419
5,20,4,7,0.994498265758,0.974828375286,0.972602739726,0.973714285714
5,20,4,8,0.992704221983,0.965130759651,0.959158415842,0.962135319677
5,20,4,9,0.988876928597,0.936395759717,0.953237410072,0.944741532977
5,20,4,average,0.99445042459,0.972095301137,0.971985437375,0.972016224655
5,20,5,0,0.998445162062,0.990314769976,0.993924665857,0.992116434203
5,20,5,1,0.99784714747,0.987220447284,0.993569131833,0.990384615385
5,20,5,2,0.995574692022,0.979468599034,0.975932611312,0.977697408077
5,20,5,3,0.991388589882,0.965962441315,0.950346420323,0.95809080326
5,20,5,4,0.994139457003,0.97625,0.963008631319,0.969584109249
5,20,5,5,0.993900251166,0.966799468792,0.965517241379,0.966157929662
5,20,5,6,0.996890324124,0.976162097735,0.992727272727,0.984375
5,20,5,7,0.994019854084,0.969318181818,0.973744292237,0.9715261959
5,20,5,8,0.992465016146,0.967418546366,0.954264524104,0.960796515246
5,20,5,9,0.988876928597,0.937352245863,0.951980792317,0.944609886837
5,20,5,average,0.994354742256,0.971626679818,0.971501558341,0.971533889782
5,20,6,0,0.998445719751,0.990314769976,0.993924665857,0.992116434203
5,20,6,1,0.997847919656,0.987220447284,0.993569131833,0.990384615385
5,20,6,2,0.995337159254,0.978287092883,0.974759615385,0.976520168573
5,20,6,3,0.991032998565,0.963700234192,0.949250288351,0.956420685648
5,20,6,4,0.994261119082,0.976279650437,0.964241676942,0.970223325062
5,20,6,5,0.993663318986,0.969292389853,0.960317460317,0.964784053156
5,20,6,6,0.996771879484,0.976133651551,0.991515151515,0.983764281419
5,20,6,7,0.994619799139,0.970554926387,0.978310502283,0.974417282547
5,20,6,8,0.992467718795,0.96625,0.955500618047,0.960845245494
5,20,6,9,0.989359158297,0.939644970414,0.954326923077,0.946929039952
5,20,6,average,0.994380679101,0.971767813298,0.971571603361,0.971640513144
5,20,7,0,0.998326159732,0.990303030303,0.992709599028,0.991504854369
5,20,7,1,0.997489239598,0.985122210414,0.992505353319,0.9888
5,20,7,2,0.995456719273,0.978287092883,0.975932611312,0.977108433735
5,20,7,3,0.991391678623,0.965922444183,0.950289017341,0.958041958042
5,20,7,4,0.993543758967,0.97375,0.959359605911,0.966501240695
5,20,7,5,0.993782879005,0.965608465608,0.965608465608,0.965608465608
5,20,7,6,0.996891439503,0.977299880526,0.991515151515,0.984356197353
5,20,7,7,0.994261119082,0.972602739726,0.972602739726,0.972602739726
5,20,7,8,0.992467718795,0.968553459119,0.95297029703,0.960698689956
5,20,7,9,0.988522238164,0.932084309133,0.954436450839,0.943127962085
5,20,7,average,0.994213295074,0.97095336319,0.970792929163,0.970835054157
5,20,8,0,0.998208099391,0.990303030303,0.991504854369,0.990903577926
5,20,8,1,0.997371879106,0.985122210414,0.991443850267,0.988272921109
5,20,8,2,0.995460518457,0.979468599034,0.974759615385,0.977108433735
5,20,8,3,0.991159956994,0.967058823529,0.947004608295,0.956926658906
5,20,8,4,0.993668617847,0.974968710889,0.959359605911,0.967101179392
