Fold,Alpha,kNN,Clase,Accuracy,Presicion,Recall,F1_score
5,20,2,average,0.993492822967,0.967246452202,0.967106686854,0.967154756578
5,20,3,average,0.994260432859,0.971139979696,0.97105175547,0.971063622754
5,20,4,average,0.99445042459,0.972095301137,0.971985437375,0.972016224655
5,20,5,average,0.994354742256,0.971626679818,0.971501558341,0.971533889782
5,20,6,average,0.994380679101,0.971767813298,0.971571603361,0.971640513144
5,20,7,average,0.994213295074,0.97095336319,0.970792929163,0.970835054157
5,20,8,average,0.994050889977,0.97013786987,0.969982204108,0.970008211017
5,21,2,average,0.993710391008,0.968327396114,0.968236950704,0.968262443944
5,21,3,average,0.994357441721,0.971664622244,0.971543678997,0.971572383694
5,21,4,average,0.994596533174,0.972794339216,0.972755491679,0.972749725742
5,21,5,average,0.994454404207,0.972164117394,0.972030639384,0.972066036355
5,21,6,average,0.994619799139,0.972981786883,0.972875485558,0.972895716336
5,21,7,average,0.994287080196,0.971351230796,0.971227132871,0.971243216587
5,21,8,average,0.994405260012,0.971910066087,0.97177083766,0.971800089988
5,22,2,average,0.994093028817,0.970280398973,0.97014466062,0.970192793457
5,22,3,average,0.994760138773,0.973719251564,0.973607184633,0.973625873727
5,22,4,average,0.994715447154,0.9734719572,0.973344286332,0.97337322692
5,22,5,average,0.994670172084,0.97328890649,0.973116447984,0.973160877951
5,22,6,average,0.994644991633,0.973132963286,0.972951360524,0.973005838965
5,22,7,average,0.994525460196,0.972585575544,0.972398694235,0.972443877053
5,22,8,average,0.994643070668,0.973140349095,0.972970063131,0.973013354487
5,23,2,average,0.994144359465,0.970546920554,0.97043127094,0.970464928985
5,23,3,average,0.994809854102,0.97395837689,0.973842647266,0.97386836519
5,23,4,average,0.994954567193,0.974665018628,0.974551173121,0.974576243021
5,23,5,average,0.994837476099,0.974047690396,0.973952290364,0.973969684064
5,23,6,average,0.99493247281,0.974561062905,0.974412879739,0.97445562973
5,23,7,average,0.994620442319,0.97306980584,0.972854055926,0.972911051139
5,23,8,average,0.99464691122,0.973208921017,0.972989955064,0.973055872945
5,24,2,average,0.99440325281,0.971864623732,0.971753442268,0.971787624378
5,24,3,average,0.994882831181,0.974317079377,0.974238380777,0.97425087246
5,24,4,average,0.995170929955,0.975779859896,0.975689398721,0.975705517643
5,24,5,average,0.995167464115,0.975747803505,0.975675371634,0.975684335922
5,24,6,average,0.995073538204,0.975272787951,0.9751767997,0.975195045575
5,24,7,average,0.994927622921,0.974601505945,0.974478634247,0.974497224717
5,24,8,average,0.994955170353,0.974702299295,0.974569603449,0.974601335163
5,25,2,average,0.994475666627,0.972215452889,0.972134618975,0.972158550605
5,25,3,average,0.99517035266,0.975790422629,0.975658146024,0.975696581807
5,25,4,average,0.995433353258,0.977137361197,0.97697942757,0.977033932075
5,25,5,average,0.995123700251,0.975562299501,0.975449282762,0.975473583266
5,25,6,average,0.995288771972,0.976384000124,0.976294201935,0.976306229183
5,25,7,average,0.994931867081,0.974668794047,0.974440439106,0.974514942824
5,25,8,average,0.995004780115,0.975042300764,0.974811492239,0.974889751667
5,26,2,average,0.994548063128,0.972591466055,0.972525415106,0.972539410277
5,26,3,average,0.995311004785,0.97647517876,0.976370319862,0.976399487417
5,26,4,average,0.995411638189,0.977008814832,0.976893938252,0.97692549717
5,26,5,average,0.995242080096,0.976145037359,0.976043402968,0.976063810637
5,26,6,average,0.995242648817,0.976157453082,0.976104943172,0.976099481776
5,26,7,average,0.995074127212,0.975362509814,0.975163188728,0.975227472154
5,26,8,average,0.995123700251,0.975576265304,0.975442964413,0.975481732569
5,27,2,average,0.994526114497,0.972468732131,0.972388116629,0.972410231168
5,27,3,average,0.995385534967,0.976871500075,0.976755440588,0.976794838069
5,27,4,average,0.995506692161,0.977510451578,0.977370801321,0.977415646989
5,27,5,average,0.995362734552,0.976740693557,0.976669105849,0.976676411409
5,27,6,average,0.995387189293,0.976893053652,0.976758113581,0.976793231004
5,27,7,average,0.995147023667,0.975687245317,0.975514375326,0.975570399389
5,27,8,average,0.995265989241,0.976294435025,0.976099995299,0.976169451615
5,28,2,average,0.994786559847,0.973821362796,0.973691558066,0.973734735049
5,28,3,average,0.995267686424,0.976269948331,0.976160870434,0.976193504153
5,28,4,average,0.995530592734,0.977586561656,0.977494785939,0.977514759787
