Fold,Alpha,kNN,Clase,Accuracy,Presicion,Recall,F1_score
10,0,1,average,0.99491118579,0.974770200919,0.974091259619,0.974332527179
10,0,10,average,0.994481765835,0.973230219804,0.971930085514,0.972347268452
10,0,100,average,0.988031723143,0.944778068514,0.939089293185,0.940448611024
10,0,20,average,0.993322123469,0.968070256946,0.965961436178,0.966613344552
10,0,30,average,0.991984641229,0.96176200841,0.959268836652,0.95995119832
10,0,5,average,0.995243814557,0.976721398106,0.9757929549,0.976115101335
10,0,50,average,0.990535671391,0.955536867982,0.951894555195,0.952814656141
10,1,1,average,0.849230028874,0.240549426251,0.238904435864,0.239648802654
10,1,10,average,0.856874548519,0.25550112813,0.275308355909,0.263853132963
10,1,100,average,0.859571394173,0.254487107527,0.287494597401,0.262641336821
10,1,20,average,0.857871930669,0.254940753624,0.280024777682,0.264757324991
10,1,30,average,0.858339350181,0.254685750913,0.282143789038,0.264681976752
10,1,5,average,0.853929343908,0.247869531897,0.261440156975,0.25401331636
10,1,50,average,0.859013237064,0.255115956166,0.285227421853,0.264862505769
10,10,1,average,0.983982683983,0.918941478022,0.918935102766,0.918838979902
10,10,10,average,0.986682692308,0.932626457051,0.93269585871,0.932471270526
10,10,100,average,0.982399615292,0.912066726975,0.910952289953,0.910917340345
10,10,20,average,0.986329723225,0.931184974168,0.930844309786,0.930721666862
10,10,30,average,0.985614625932,0.927741089654,0.927258503522,0.92716646497
10,10,5,average,0.987048627829,0.934528996463,0.934398525175,0.93430148
10,10,50,average,0.98408271219,0.920176056957,0.919475633559,0.919405028601
10,100,1,average,0.995677233429,0.978344800974,0.978034961646,0.978144957385
10,100,10,average,0.995534213685,0.978088550455,0.977340864591,0.977597553331
10,100,100,average,0.98915547025,0.948881461091,0.944954148272,0.945912182221
10,100,20,average,0.994237695078,0.971966779358,0.970686224933,0.971102408427
10,100,30,average,0.993323727185,0.967696722433,0.966059369795,0.966564677804
10,100,5,average,0.995918367347,0.979875395581,0.979189227906,0.979447862226
10,100,50,average,0.991734742912,0.960522557477,0.957976077261,0.958711403623
10,20,1,average,0.994519230769,0.972444231499,0.97233264994,0.972366094722
10,20,10,average,0.994717887155,0.973480268462,0.973304038239,0.973350591522
10,20,100,average,0.990283790284,0.952121739477,0.950871974749,0.951208534754
10,20,20,average,0.993847632781,0.969205047786,0.968922834592,0.96898119506
10,20,30,average,0.993317307692,0.966669391819,0.966213002766,0.966335355176
10,20,5,average,0.995294117647,0.976300117225,0.976218393405,0.976219961743
10,20,50,average,0.992023065834,0.960364517101,0.959695154361,0.959855055938
10,3,1,average,0.888103821197,0.432590795979,0.432595567844,0.432576544689
10,3,10,average,0.900865800866,0.492559766393,0.496349366707,0.493699867985
10,3,100,average,0.906162734714,0.51928395415,0.522760327333,0.517998863128
10,3,20,average,0.903657362849,0.506194175842,0.510309939032,0.506726462395
10,3,30,average,0.904908565929,0.512226036258,0.516544809182,0.512391169931
10,3,5,average,0.897016361886,0.47308668297,0.476843480308,0.474633306184
10,3,50,average,0.90557960558,0.515926807943,0.51989370423,0.515200109047
10,30,1,average,0.995915425276,0.97946755273,0.979418224549,0.979425084961
10,30,10,average,0.995869356388,0.979303232858,0.979114972525,0.979177004213
10,30,100,average,0.991241578441,0.957221214329,0.955632452451,0.956083791878
10,30,20,average,0.994908741595,0.974730938909,0.974294816145,0.974432359731
10,30,30,average,0.994045618247,0.97057675852,0.96990241517,0.970111263721
10,30,5,average,0.996303408545,0.981445658233,0.98135748159,0.981377643672
10,30,50,average,0.992939481268,0.965280157753,0.964297475931,0.964588715556
10,5,1,average,0.938990384615,0.690731066996,0.691088568776,0.690874412923
10,5,10,average,0.951840269425,0.757267834785,0.756449497497,0.755792820838
10,5,100,average,0.951659451659,0.757687023482,0.755692806774,0.754502890279
10,5,20,average,0.953187394756,0.764668599087,0.763411629046,0.762732809943
10,5,30,average,0.953331729613,0.765618686054,0.76431490674,0.763287342465
10,5,5,average,0.949133782483,0.742926295379,0.742681280023,0.742100579828
10,5,50,average,0.952658166947,0.762319969822,0.760889211178,0.7597628935
10,50,1,average,0.996061479347,0.980305504549,0.980060870887,0.980158258724
10,50,10,average,0.996107640557,0.980765731667,0.980321509384,0.980480407793
10,50,100,average,0.990625,0.954929508107,0.952449765209,0.953161526575
10,50,20,average,0.99485824123,0.974656779202,0.973973100227,0.974195964797
10,50,30,average,0.994282969013,0.971948270242,0.971051183313,0.971335307368
10,50,5,average,0.996402877698,0.982123002481,0.981769298471,0.981902305772
10,50,50,average,0.992886325403,0.965280282201,0.963936081763,0.964371524958
2,0,1,average,0.992571755507,0.963078561951,0.962299168074,0.962539492161
2,0,10,average,0.991877591878,0.960668984024,0.95875241249,0.959307570892
2,0,100,average,0.983651875506,0.92516081489,0.916890298473,0.918640573901
2,0,20,average,0.990140643623,0.952806630849,0.949943204022,0.950700793117
2,0,30,average,0.988720980121,0.946515193814,0.942742947949,0.94367005641
2,0,5,average,0.99266920877,0.964024476806,0.962792356093,0.963158441141
2,0,50,average,0.986897439565,0.938685363869,0.933494397266,0.934689082285
2,1,1,average,0.8490488677,0.238587660007,0.23804648695,0.238297651673
2,1,10,average,0.855671577743,0.251019615598,0.269794076835,0.25911801743
2,1,100,average,0.859210526316,0.252618220428,0.285753336588,0.260430578309
2,1,20,average,0.857311781815,0.254009876139,0.27763732014,0.263480315324
2,1,30,average,0.857274980931,0.251664923353,0.277181745221,0.261215981509
2,1,5,average,0.853687371883,0.246589593339,0.260232290319,0.252765259131
